label,detail,documentation,kind
.h.hc,escape lt,.h.hc[string],2
.h.he,HTTP 400,.h.he[string],2
.h.hn,HTTP response,.h.hn[status code string;content type sym;content string],2
.h.HOME,webserver root,.h.HOME,6
.h.hp,HTTP response pre,.h.hp[string],2
.h.hr,horizontal rule,.h.hr[string],2
.h.ht,Marqdown to HTML,.h.ht[file],2
.h.hta,start tag,.h.hta[HTML tag sym;attributes!values],2
.h.htac,element,.h.htac[HTML tag sym;attributes!values;content],2
.h.htc,element,.h.htc[HTML tag sym;content],2
.h.html,document,.h.html[html body string],2
.h.http,hyperlinks,.h.http[string],2
.h.hu,URI escape,.h.hu[string],2
.h.hug,URI map,.h.hug[string],2
.h.hy,HTTP response content,.h.hy[http content type sym;string],2
.h.iso8601,ISO timestamp,.h.iso8601[nanoseconds],2
.h.jx,table,.h.jx[offset;table sym],2
.h.logo,Kx logo,.h.logo,6
.h.nbr,no break,.h.nbr[string],2
.h.pre,pre,.h.pre[strings],2
.h.sa,anchor style,.h.sa,6
.h.sb,body style,.h.sb,6
.h.sc,URI-safe,.h.sc,6
.h.td,TSV from data,.h.td[table],2
.h.text,paragraphs,.h.text[strings],2
.h.tx,filetypes,.h.tx,6
.h.ty,MIME types,.h.ty,6
.h.uh,URI unescape,.h.uh[string],2
.h.val,value,.h.val:{[expression]},2
.h.xd,XML,.h.xd[table],2
.h.xmp,XMP,.h.xmp[strings],2
.h.xs,XML escape,.h.xs[string],2
.h.xt,JSON,.h.xt[`json;json string],2
.j.j,serialize,.j.j[any],2
.j.k,deserialize,.j.k[string],2
.j.jd,serialize infinity,".j.jd[any;()!()|(!). 1#'`null0w,1b]",2
abs,absolute value,abs[numbers],2
acos,arccosine,acos[numbers],2
aj,as-of join(boundary time from LHS),aj[syms;table;table],2
aj0,as-of join(actual time from RHS),aj0[syms;table;table],2
ajf,as-of join(only fill null values from LHS),ajf[syms;table;table],2
ajf0,as-of join(only fill null values from RHS),ajf0[syms;table;table],2
all,:true if all true,all[numbers],2
and,AND(min),and[numbers;numbers]   ,2
any,:true if any true,any[numbers],2
asc,ascending sort,asc[list],2
asof,as-of join,asof[table;<table|dict>],2
atan,arctangent,atan[numbers],2
attr,attribute,attr[any],2
avg,arithmetic mean,avg[numbers],2
avgs,running average,avgs[numbers],2
bin,binary search(<=x),bin[numbers!;numbers],2
binr,binary search right(>=x),binr[numbers!;numbers],2
ceiling,round up,ceiling[numbers],2
cols,column names,cols[table],2
cor,correlation,cor[numbers;numbers],2
cos,cosine,cos[numbers],2
count,count items,count[any],2
cov,covariance,cov[numbers;numbers],2
cross,cross product,cross[list;list],2
csv,csv delimiter comma,csv,6
cut,cut into lists,cut[ints;list],2
delete,delete rows or columns from a table,"delete [col1,col2] from t [where cond]",2
deltas,difference between list items,deltas[<default;>numbers or temporals],2
desc,descending sort,desc[list],2
dev,deviation,dev[numbers],2
differ,find changes by comparing to next,differ[list],2
distinct,remove duplicates,distinct[list],2
div,integer division,div[numbers;numbers],2
do,evaluate expression repeatedly,do[times;e1;e2...],2
dsave,save global tables to disk,dsave[hsym;syms],2
each,each iterator, each[v1;list],2
ej,equal join,ej[syms;table;table],2
ema,exponential moving average,ema[smoothing factors;numbers],2
enlist,make a list,enlist[any],2
eval,evaluate a parse tree,eval[list],2
except,exclude items,except[list;exclusions],2
exec,select rows and columns as a list or dict,"exec col1,col2 [by col3] from t [where cond]",2
exit,terminate with code number,exit[int],2
exp,power of the base of the natural logarithm,exp[numbers],2
fby,apply aggregate to groups,(function;list) fby group|([]group1;group2),2
fills,replace nulls with preceding non-nulls,fills[list],2
first,first item,first[any],2
fkeys,foreign-key columns,fkeys[table],2
flip,transposed,flip[list|dict|table],2
floor,round down,floor[numbers],2
get,read or memory-map a variable or kdb+ file,get[sym|file],2
getenv,get an environment variable,getenv[sym],2
group,group items into a dict,group[list|dict],2
gtime,convert to UTC,gtime[timestamps],2
hclose,close a file or process handle,hclose[handle],2
hcount,size of a file in bytes,hcount[file],2
hdel,delete a file or folder,hdel[file|dir],2
hopen,open a file or process handle,hopen[file|socket|string<;timeout ms>],2
hsym,convert to process symbols,hsym[syms],2
iasc,ascending grade,iasc[list],2
idesc,descending grade,idesc[list],2
if,evaluate expressions if true,if[test;e1;e2...],2
ij,inner join,ij[table;table],2
ijf,inner join(fill null values from RHS),ijf[table;table],2
in,test if items in the list,in[items;list],2
insert,insert or append records,insert[table;records]|insert[undefined sym;table],2
inter,intersection,inter[list;list],2
inv,matrix inverse,inv[matrix],2
key,key of a dict,key[sym|dict],2
keys,key columns of a table,keys[table],2
last,last item,last[x],2
like,match text,like[syms|strings|dict<any!syms|strings>;string],2
lj,left join,lj[table;keyed table],2
ljf,left join(ignore nulls from RHS),ljf[table;keyed table],2
load,load binary file|dir,load[file|dir],2
log,natural logarithm,log[numbers],2
lower,lower case,lower[<symbols|strings>],2
lsq,least squares,lsq[matrixes;matrixes],2
ltime,convert to local timestamp,ltime[ts],2
ltrim,trim leading spaces,ltrim[string],2
mavg,moving average,mavg[int;numbers],2
max,maximum,max[numbers|characters|temporals],2
maxs,running maximums,maxs[<default;>numbers|characters|temporals],2
mcount,moving count,mcount[int;list],2
md5,message digest hash,md5[string],2
mdev,moving deviations,mdev[int;numbers],2
med,median,med[numbers],2
meta,metadata for a table,meta[table],2
min,minimum,min[numbers|characters|temporals],2
mins,running minimums,maxs[<default;>numbers|characters|temporals],2
mmax,moving maximums,mmax[int;numbers|characters|temporals],2
mmin,moving minimums,mmin[int;numbers|characters|temporals],2
mmu,matrix multiply,mmu[matrix;matrix],2
mod,modulus,mod[divisors;dividends],2
msum,moving sums,msum[int;numbers|characters|temporals],2
neg,negate,neg[numbers],2
next,shift each to next(last is null),next[list],2
not,1b if non-zero else 0b,not[numbers],2
null,is null,null[x],2
over,apply progressively and :last evaluation,over[v1|vv;list],2
parse,parse a string to ast,parse[string],2
peach,each parallel iterator, x peach list,2
pj,plus join,pj[table;keyed table],2
prd,product,prd[numbers],2
prds,running products,prds[numbers],2
prev,shift each to prev(first is null),prev[list],2
prior,apply to each item and its preceding item,prior[v2|vv;list],2
rand,pick randomly,rand[number]|rand[list],2
rank,position in the sorted list,rank[list],2
ratios,running ratios,rations[<default;>numbers],2
raze,flat a list,raze[list],2
read0,read text from a file or process handle,read0[hsym|(hsym;offset;length)],2
